,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
41579,Manhattan,Harlem,40.8239,-73.94561,Private room,75,2,5,6,181,0.15311414469841633
41581,Manhattan,Midtown,40.75379,-73.97286,Entire home/apt,440,2,1,2,0,0.3752184256042217
41582,Manhattan,Upper West Side,40.79764,-73.9689,Entire home/apt,70,2,1,1,90,0.2053192468366406
41590,Manhattan,Kips Bay,40.7407,-73.97994,Entire home/apt,120,29,0,44,365,0.4501662029011986
41591,Manhattan,Kips Bay,40.7399,-73.97851,Entire home/apt,145,29,0,44,365,0.6000983604773594
41592,Manhattan,Kips Bay,40.74062,-73.98303,Entire home/apt,120,29,0,44,326,0.2913507211869425
41593,Manhattan,Kips Bay,40.73958,-73.97898,Entire home/apt,145,29,0,44,365,0.5910925641812814
41594,Manhattan,Kips Bay,40.7406,-73.97908000000001,Entire home/apt,156,29,0,44,365,0.5166737286586071
41595,Manhattan,Kips Bay,40.74062,-73.98199,Entire home/apt,156,29,0,44,365,0.33303468923574564
41598,Manhattan,Hell's Kitchen,40.7646,-73.98685,Entire home/apt,489,3,5,1,151,0.24906506104890416
41599,Manhattan,Midtown,40.76579,-73.98221,Entire home/apt,299,4,0,1,126,0.18112672853707862
41601,Manhattan,Upper East Side,40.77513,-73.96471,Entire home/apt,180,30,0,280,6,0.44135712531759164
41602,Manhattan,West Village,40.73407,-74.01004,Entire home/apt,153,9,0,1,0,0.6069103780945548
41607,Manhattan,SoHo,40.72331,-73.99696,Entire home/apt,180,30,0,18,365,0.11308669336524817
41609,Manhattan,Hell's Kitchen,40.762,-73.99126,Entire home/apt,150,5,22,1,175,0.44835739781952255
41611,Manhattan,Harlem,40.81982,-73.94111,Private room,60,7,12,3,68,0.4158195710223289
41613,Manhattan,Harlem,40.81133,-73.94424000000001,Entire home/apt,390,3,11,1,364,0.4109916590100313
41615,Manhattan,Hell's Kitchen,40.76314,-73.98706,Private room,92,2,15,1,90,0.11842249653977018
41617,Manhattan,Morningside Heights,40.81692,-73.95973000000001,Shared room,60,3,1,2,0,0.18771638033931007
41618,Manhattan,Hell's Kitchen,40.760290000000005,-73.99115,Entire home/apt,700,3,31,1,180,0.3520455185743916
41619,Manhattan,Upper West Side,40.78512,-73.97576,Private room,81,2,3,1,285,0.3747899839335639
41620,Manhattan,Washington Heights,40.85634,-73.93066,Private room,75,7,0,1,179,0.16249640559260053
41623,Manhattan,Washington Heights,40.8581,-73.92872,Entire home/apt,150,2,2,1,173,0.32455978588188067
41624,Manhattan,Greenwich Village,40.729490000000006,-74.00038,Entire home/apt,730,1,14,1,0,0.3164158967288335
41627,Manhattan,East Village,40.72611,-73.98894,Private room,81,30,0,10,180,0.3123160729215133
41629,Manhattan,East Village,40.72579,-73.99023000000001,Private room,82,30,0,10,180,0.2663290276134795
41630,Manhattan,East Village,40.72627,-73.98862,Entire home/apt,373,30,0,10,114,0.33739151850798327
41631,Manhattan,West Village,40.73856,-74.00631,Entire home/apt,350,3,5,1,0,0.3429761860516085
41632,Manhattan,NoHo,40.7263,-73.99385,Private room,81,30,0,33,0,0.08061701551103098
41637,Manhattan,Upper West Side,40.798790000000004,-73.9611,Private room,73,30,2,5,305,0.30109863471057896
41640,Manhattan,SoHo,40.72319,-73.99853,Entire home/apt,180,30,0,18,365,0.14454010563951622
41642,Manhattan,Chinatown,40.71313,-73.9942,Private room,80,5,0,1,179,0.3464213202821104
41643,Manhattan,Nolita,40.72317,-73.99675,Entire home/apt,167,30,0,18,7,0.10199875854533459
41647,Manhattan,Hell's Kitchen,40.7639,-73.98945,Entire home/apt,600,3,27,1,46,0.3337065443752282
41649,Manhattan,East Village,40.72446,-73.9833,Entire home/apt,85,1,9,8,365,0.5729878826420001
41650,Manhattan,Chelsea,40.74743,-73.99029,Private room,350,2,1,1,178,0.25388697987467596
41653,Manhattan,Greenwich Village,40.72868,-74.00121,Entire home/apt,175,30,4,1,195,0.3461938453492236
41654,Manhattan,Hell's Kitchen,40.75914,-73.99169,Private room,139,2,7,1,53,0.2619950640868107
41655,Manhattan,East Village,40.72493,-73.98379,Entire home/apt,89,1,15,8,365,0.5464269968348517
41656,Manhattan,Upper West Side,40.774359999999994,-73.98885,Private room,143,7,16,1,54,0.5698794458769819
41657,Manhattan,Upper West Side,40.788109999999996,-73.96894,Entire home/apt,169,1,10,1,180,0.2489818763510921
41658,Manhattan,Harlem,40.80619,-73.95483,Entire home/apt,236,14,1,1,120,0.1227888439497743
41660,Manhattan,Lower East Side,40.7205,-73.98545,Entire home/apt,312,2,13,1,325,0.29505850399116956
41668,Manhattan,Hell's Kitchen,40.76719,-73.99523,Private room,52,60,0,1,90,0.9411790158093706
41669,Manhattan,Washington Heights,40.85178,-73.93427,Private room,50,3,4,1,0,0.25895505808031477
41674,Manhattan,Hell's Kitchen,40.75571,-73.99916,Entire home/apt,199,2,20,1,85,0.2330077941840695
41675,Manhattan,Upper West Side,40.79808,-73.96082,Private room,72,30,1,5,365,0.22715856784951127
41679,Manhattan,Kips Bay,40.73963,-73.98056,Entire home/apt,130,30,1,32,365,0.49376770525953856
41680,Manhattan,Hell's Kitchen,40.763259999999995,-73.98566,Entire home/apt,135,2,0,1,136,0.09338089661264554
41683,Manhattan,Inwood,40.86675,-73.92639,Private room,100,3,2,2,364,0.15831710856747624
41687,Manhattan,East Harlem,40.80223,-73.93553,Entire home/apt,125,2,1,1,269,0.274280956267488
41694,Manhattan,Chelsea,40.74729,-73.99002,Private room,399,1,0,2,0,0.22885899968545015
41696,Manhattan,Harlem,40.82977,-73.94624,Private room,65,5,3,1,0,0.40720425174263153
41702,Manhattan,Hell's Kitchen,40.757870000000004,-73.99403000000001,Entire home/apt,168,5,0,2,175,0.3680118193135167
41711,Manhattan,Harlem,40.80259,-73.95855999999999,Private room,212,2,31,2,84,0.22321063221420515
